,S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currency,MRP,SellPrice,Discount,Category,delta
3891,3892,catwalk,CATWALK128,CATWALK128 - Footwear-Women,synthetic slipon womens casual flats - pink,"Size:5,6,7",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3892,3893,catwalk,CATWALK129,CATWALK129 - Footwear-Women,womens shimmer criss cross slip ons - black,"Size:4,5,6,7,8,9",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3893,3894,catwalk,CATWALK130,CATWALK130 - Footwear-Women,synthetic slip on womens occasion wear loafers - pink,"Size:4,5,6,7,8,9",Rs.,2895.0,1447,50% off,Footwear-Women,1448.0
3894,3895,catwalk,CATWALK131,CATWALK131 - Footwear-Women,synthetic slip on womens casual wear sandals - gold,"Size:4,5,6,7,8,9",Rs.,2795.0,2236,20% off,Footwear-Women,559.0
3895,3896,catwalk,CATWALK132,CATWALK132 - Footwear-Women,synthetic slipon womens casual wear flip flops - brown,"Size:5,6,7",Rs.,2795.0,1397,50% off,Footwear-Women,1398.0
3896,3897,catwalk,CATWALK133,CATWALK133 - Footwear-Women,womens pure leather cut-out sandals - brown,"Size:4,5,6,8",Rs.,1895.0,1516,20% off,Footwear-Women,379.0
3897,3898,catwalk,CATWALK134,CATWALK134 - Footwear-Women,fabric buckle womens casual wear sandals - black,"Size:5,6,7",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
3898,3899,catwalk,CATWALK135,CATWALK135 - Footwear-Women,pu slipon womens occasion wear flat sandals - gold,"Size:5,6,7",Rs.,2995.0,1497,50% off,Footwear-Women,1498.0
3899,3900,catwalk,CATWALK136,CATWALK136 - Footwear-Women,womens dual-toned metallic sandals - bronze,"Size:4,5,6,7,8,9",Rs.,2095.0,1676,20% off,Footwear-Women,419.0
3900,3901,catwalk,CATWALK137,CATWALK137 - Footwear-Women,womens square toe corporate sandals - black,"Size:4,5,6,7,8",Rs.,2095.0,1676,20% off,Footwear-Women,419.0
3901,3902,catwalk,CATWALK138,CATWALK138 - Footwear-Women,patent buckle womens work wear ballerinas - black,"Size:5,6,7",Rs.,2095.0,1047,50% off,Footwear-Women,1048.0
3902,3903,catwalk,CATWALK139,CATWALK139 - Footwear-Women,synthetic buckle womens casual wear flip flops - brown,"Size:5,6,7",Rs.,2995.0,1497,50% off,Footwear-Women,1498.0
3903,3904,catwalk,CATWALK140,CATWALK140 - Footwear-Women,synthetic slip on womens occasion wear loafers - yellow,"Size:4,5,6,7,8,9",Rs.,2795.0,1397,50% off,Footwear-Women,1398.0
3904,3905,catwalk,CATWALK141,CATWALK141 - Footwear-Women,fabric buckle womens casual mules - blue,"Size:5,6,7",Rs.,2895.0,2316,20% off,Footwear-Women,579.0
3905,3906,catwalk,CATWALK142,CATWALK142 - Footwear-Women,suede buckle womens casual wear ballerinas - toffee,"Size:4,5,6,7,8,9",Rs.,2195.0,1756,20% off,Footwear-Women,439.0
3906,3907,catwalk,CATWALK143,CATWALK143 - Footwear-Women,leather tie up womens casual wear loafers - brown,"Size:4,5,6,7,8",Rs.,2695.0,2156,20% off,Footwear-Women,539.0
3907,3908,catwalk,CATWALK144,CATWALK144 - Footwear-Women,raffia slipon womens casual wear ballerinas - gold,"Size:4,5,6,7,8",Rs.,2495.0,1247,50% off,Footwear-Women,1248.0
3908,3909,catwalk,CATWALK145,CATWALK145 - Footwear-Women,synthetic slip on womens party wear sandals - gold,"Size:4,5,6,7,8,9",Rs.,2795.0,2236,20% off,Footwear-Women,559.0
3909,3910,catwalk,CATWALK146,CATWALK146 - Footwear-Women,womens metallic link slip ons - natural,"Size:4,5,6,7",Rs.,2195.0,1097,50% off,Footwear-Women,1098.0
3910,3911,catwalk,CATWALK147,CATWALK147 - Footwear-Women,womens tri-strap structured lycra slides - black,"Size:4,5,6,7,8,9",Rs.,1795.0,1436,20% off,Footwear-Women,359.0
3911,3912,catwalk,CATWALK148,CATWALK148 - Footwear-Women,synthetic lace up womens occasion wear boots - tan,"Size:4,5,6,7,8,9",Rs.,4295.0,3436,20% off,Footwear-Women,859.0
3912,3913,catwalk,CATWALK149,CATWALK149 - Footwear-Women,synthetic square toe womens casual wear sandals - tan,"Size:5,6,7",Rs.,2195.0,1756,20% off,Footwear-Women,439.0
3913,3914,catwalk,CATWALK150,CATWALK150 - Footwear-Women,womens patent combat boots - black,"Size:4,5,6,7,8",Rs.,3895.0,3116,20% off,Footwear-Women,779.0
3914,3915,catwalk,CATWALK151,CATWALK151 - Footwear-Women,womens snake print sandals - natural,"Size:4,5,6,7,8",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3915,3916,catwalk,CATWALK152,CATWALK152 - Footwear-Women,womens solid-striped sandals - blue,"Size:4,5,6,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3916,3917,catwalk,CATWALK153,CATWALK153 - Footwear-Women,fabric slip on womens athleisure sneakers - multi,"Size:5,7",Rs.,4095.0,2047,50% off,Footwear-Women,2048.0
3917,3918,catwalk,CATWALK154,CATWALK154 - Footwear-Women,womens african wood embellished sandals - brown,"Size:4,5,6,7,8,9",Rs.,1795.0,1436,20% off,Footwear-Women,359.0
3918,3919,catwalk,CATWALK155,CATWALK155 - Footwear-Women,solid pu tie up womens casual flats - blue,"Size:4,5,6,7,8,9",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
3919,3920,catwalk,CATWALK156,CATWALK156 - Footwear-Women,pu slipon womens work wear flat sandals - brown,"Size:6,7",Rs.,2595.0,1297,50% off,Footwear-Women,1298.0
3920,3921,catwalk,CATWALK157,CATWALK157 - Footwear-Women,raffia slipon womens casual wear ballerinas - multi,"Size:4,5,6,7,8",Rs.,2295.0,1119,51% off,Footwear-Women,1176.0
3921,3922,catwalk,CATWALK158,CATWALK158 - Footwear-Women,leather slip on womens casual flip flops - natural,"Size:4,5,6,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3922,3923,catwalk,CATWALK159,CATWALK159 - Footwear-Women,womens metallic wood textured slip ons - bronze,"Size:6,7,8",Rs.,2195.0,1756,20% off,Footwear-Women,439.0
3923,3924,catwalk,CATWALK160,CATWALK160 - Footwear-Women,patent buckle womens work wear ballerinas - black,"Size:4,5,6,7,8,9",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
3924,3925,catwalk,CATWALK161,CATWALK161 - Footwear-Women,synthetic slip on womens casual mules - gold,"Size:5,6,7",Rs.,2495.0,1247,50% off,Footwear-Women,1248.0
3925,3926,catwalk,CATWALK162,CATWALK162 - Footwear-Women,pu slipon womens casual wear flat sandals - tan,"Size:4,5,6,7",Rs.,1695.0,847,50% off,Footwear-Women,848.0
3926,3927,catwalk,CATWALK163,CATWALK163 - Footwear-Women,womens woven toe loop slip ons - gold,Size:6,Rs.,2295.0,1119,51% off,Footwear-Women,1176.0
3927,3928,catwalk,CATWALK164,CATWALK164 - Footwear-Women,synthetic tie up womens casual shoes - tan,"Size:5,6,7",Rs.,4095.0,3276,20% off,Footwear-Women,819.0
3928,3929,catwalk,CATWALK165,CATWALK165 - Footwear-Women,synthetic slipon womens casual wear ballerinas - gold,"Size:4,5,6,7",Rs.,2095.0,1047,50% off,Footwear-Women,1048.0
3929,3930,catwalk,CATWALK166,CATWALK166 - Footwear-Women,polyurethane slipon womens ethnic clogs - yellow,"Size:5,6,7",Rs.,2895.0,2316,20% off,Footwear-Women,579.0
3930,3931,catwalk,CATWALK167,CATWALK167 - Footwear-Women,womens embellished heel slip ons - black,"Size:4,5,6,7",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
